"ID","PROVINCE","2010","2011","2012","2013","2014"
"1","µLAVA","3.22985202551","3.31425599965","3.35134565364","3.37567707993","3.41687064349"
"2","ALBACETE","2.72354748283","2.68195805308","2.66609075135","2.68745296957","2.72049210679"
"3","ALICANTE","2.13415979463","2.2795814339","2.39362933469","2.39458235379","2.41699216137"
"4","ALMER÷A","1.90637759503","1.88668775318","1.99653800877","1.910402686","1.80137040964"
"5","µVILA","2.43170289012","2.48980915323","2.51072898724","2.54701614097","2.57461904619"
"6","BADAJOZ","3.53542723478","3.48598759801","3.5289899832","3.58641486805","3.42726966157"
"7","ILLES BALEARS","2.18344756878","2.23606926155","2.98185073059","2.28844067595","2.30823187807"
"8","BARCELONA","1.83355660809","1.8867450194","1.91424789042","1.91664749117","1.93291410381"
"9","BURGOS","2.72393057045","2.71258089161","2.71755073739","2.62627677456","2.66830198964"
"10","CµCERES","3.2017692847","3.14601657014","3.10930688569","3.1807933703","3.19302769982"
"11","CµDIZ","1.94705592692","1.93644005439","1.95717190667","1.97578991225","1.73927066745"
"12","CASTELL‡N","2.34827247242","2.35958328369","2.38684407275","2.39987103186","2.45783887198"
"13","CIUDAD REAL","2.83311266534","2.89527042958","2.89486091466","2.92402116725","2.91178242269"
"14","C‡RDOBA","1.55348037172","1.55257844836","1.55519091957","1.56129053798","1.49372977793"
"15","A CORU•A","16.8843814878","16.5649043069","16.3688565191","16.031222422","16.2883407488"
"16","CUENCA","0.545783391718","0.543068934079","0.539634230404","0.572454938868","0.576600595644"
"17","GIRONA","1.5706829094","1.7251635931","1.87555258915","1.88291550593","1.87284858965"
"18","GRANADA","8.06557403116","7.91153430736","7.97188840127","8.02799905325","7.36025306742"
"19","GUADALAJARA","1.02649226667","1.23025843883","1.0448014807","1.04228248657","1.04034409661"
"20","GUIPÈZCOA","3.12692416823","3.08831192717","3.06199341318","3.11522889826","3.05260299405"
"21","HUELVA","4.32697776572","4.33086209992","4.45940186899","4.48462194416","4.4417964599"
"22","HUESCA","1.10620623441","1.08410378765","1.08915884113","1.09637909149","1.08340553508"
"23","JAêN","2.88212720616","2.89072497132","3.00333096707","3.0321468825","2.83684138859"
"24","LE‡N","3.18577067909","3.27599772105","3.27064410697","3.28634770874","3.38812011845"
"25","LLEIDA","2.31999131554","2.31611215185","2.52774181188","2.54015967605","2.5642472461"
"26","LA RIOJA","2.74395763556","2.29567888943","2.30437200131","2.41036979234","2.65209425"
"27","LUGO","0.188273648316","0.205865312311","0.205584006303","0.174888935519","0.17600287554"
"28","MADRID","9.01738801422","8.64913671627","8.95376144508","8.94858375595","9.02298935614"
"29","MALAGA","1.82697562687","1.86725929191","1.96073244988","1.96392918986","1.71868629919"
"30","MURCIA","4.93308463804","4.92639992773","5.02043235293","5.03353882295","5.03285007569"
"31","NAVARRA","4.10477926371","4.10794071842","4.20581547098","4.3920862869","4.45247026774"
"32","OURENSE","1.01259659092","0.992152471551","1.00523501894","1.01388830377","1.0200083635"
"33","ASTURIAS","18.3583560373","18.2445184892","18.2294259957","17.6555887662","16.7174793716"
"34","PALENCIA","0.463045740667","0.460354792248","0.451484493733","0.448430493274","0.449988954817"
"35","LAS PALMAS","2.56734741374","2.56457892022","2.59487410635","2.66687607979","2.60695180136"
"36","PONTEVEDRA","5.54834440457","5.58379085856","5.63948380324","5.68661951451","5.73791315165"
"37","SALAMANCA","0.983545316048","0.980783442045","0.960167306942","0.962723769226","0.952439718627"
"38","SANTA CRUZ DE TENERIFE","4.10806247362","4.07842581868","4.07334376226","4.14943367664","4.17051724607"
"39","CANTABRIA","8.71746170891","8.87500076141","8.3200469148","8.23737492424","8.36142445528"
"40","SEGOVIA","0.224819088445","0.223436231507","0.222282506109","0.221918435964","0.222009884848"
"41","SEVILLA","38.5269478679","37.1023807273","36.9649393792","37.4527017612","35.7619197363"
"42","SORIA","2.44360772868","2.45492956772","2.46994322609","2.49678231575","2.39375912799"
"43","TARRAGONA","2.25501595705","2.20359600247","2.23286935995","2.24395132921","2.3047285639"
"44","TERUEL","0.690590579152","0.689948712985","0.691114210352","0.667977697521","0.670501199647"
"45","TOLEDO","2.18637484437","2.16474700315","2.15542695169","2.1772151182","2.17983339436"
"46","VALENCIA","2.1668661258","2.21350213032","2.16948905607","2.10249548602","2.09306139359"
"47","VALLADOLID","2.87834495165","2.94648833183","2.87489705772","2.88567757062","2.90273019161"
"48","VIZCAYA","2.7649593837","2.7384293788","2.65961349713","2.65900642226","2.66341408363"
"49","ZAMORA","3.08937563718","3.10265121546","3.13132789178","3.18691241302","3.23568747573"
"50","ZARAGOZA","3.22013209323","3.22708242365","3.2183861041","3.20649719304","3.26941364071"
"51","CEUTA","0.620509065637","3.66611634457","3.59446785213","2.99358517463","2.96599696338"
"52","MELILLA","2.26214588211","2.1917528926","2.1039083191","2.03157303505","2.01162006414"
