"CODAUTO";"AUTONOMIA";"CODPROV";"NOMBRE";"2014_H_PUBLICO";"2014_CAMAS_PUB";"2014_H_PRIVADO_";"2014_CAMAS_PRIV";"2013_H_PUBLICO";"2013_CAMAS_PUB";"2013_H_PRIVADO";"2013_CAMAS_PRIV";"2012_H_PUBLICO";"2012_CAMAS_PUB";"2012_H_PRIVADO";"2012_CAMAS_PRIV";"2011_H_PUBLICO";"2011_CAMAS_PUB";"2011_H_PRIVADO";"2011_CAMAS_PRIV";"2010_H_PUBLICO";"2010_CAMAS_PUB";"2010_H_PRIVADO";"2010_CAMAS_PRIV";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997"
16;"PA÷S VASCO";1;"µLAVA";3;1100;3;192;4;1085;3;209;4;1081;3;186;4;1058;3;209;4;1025;3;207;"321932.0";"321417.0";"322557.0";"319227.0";"317352.0";"313819.0";"309635.0";"305459.0";"301926.0";"299957.0";"295905.0";"294360.0";"291860.0";"288793.0";"286497.0";"285748.0";"284595.0";" 281821.0"
8;"CASTILLA-LA MANCHA";2;"ALBACETE";7;1080;2;107;7;1075;3;107;7;1074;3;157;7;1079;3;157;7;1094;3;157;"396987.0";"400007.0";"402837.0";"402318.0";"401682.0";"400891.0";"397493.0";"392110.0";"387658.0";"384640.0";"379448.0";"376556.0";"371787.0";"367283.0";"363263.0";"361021.0";"358597.0";" 359010.0"
10;"COMUNIDAD VALENCIANA";3;"ALICANTE";13;4516;13;947;13;4659;15;1027;13;4653;16;1060;13;4409;16;1267;13;4111;15;1227;"1868438.0";"1945642.0";"1943910.0";"1934127.0";"1926285.0";"1917012.0";"1891477.0";"1825264.0";"1783555.0";"1732389.0";"1657040.0";"1632349.0";"1557968.0";"1490265.0";"1445144.0";"1410946.0";"1388933.0";" 1379762.0"
1;"ANDALUC÷A";4;"ALMER÷A";7;1264;2;165;7;1336;2;165;7;1406;2;165;6;1326;3;162;6;1326;3;176;"701688.0";"699329.0";"704219.0";"702819.0";"695560.0";"684426.0";"667635.0";"646633.0";"635850.0";"612315.0";"580077.0";"565310.0";"546498.0";"533168.0";"518229.0";"512843.0";"505448.0";" 501761.0"
7;"CASTILLA Y LE‡N";5;"µVILA";3;430;1;33;3;430;1;33;3;430;1;33;3;430;1;33;3;418;1;33;"167015.0";"168825.0";"171265.0";"172704.0";"171896.0";"171680.0";"171815.0";"168638.0";"167818.0";"167032.0";"166108.0";"165480.0";"165138.0";"163885.0";"164991.0";"166259.0";"167132.0";" 169342.0"
11;"EXTREMADURA";6;"BADAJOZ";15;2368;6;413;15;2488;5;393;15;2451;4;293;15;2419;5;313;15;2447;6;337;"690929.0";"693729.0";"694533.0";"693921.0";"692137.0";"688777.0";"685246.0";"678459.0";"673474.0";"671299.0";"663896.0";"663142.0";"662808.0";"664251.0";"661874.0";"664625.0";"663803.0";" 656848.0"
4;"ILLES BALEARS";7;"ILLES BALEARS";11;2547;13;1331;13;2544;11;1131;15;3338;11;1130;13;2489;12;1220;13;2415;12;1221;"1103442.0";"1111674.0";"1119439.0";"1113114.0";"1106049.0";"1095426.0";"1072844.0";"1030650.0";"1001062.0";"983131.0";"955045.0";"947361.0";"916968.0";"878627.0";"845630.0";"821820.0";"796483.0";" 760379.0"
9;"CATALU•A";8;"BARCELONA";39;10677;109;15400;39;10620;110;15540;39;10628;115;15806;43;10432;114;15528;41;10105;113;15534;"5523784.0";"5540925.0";"5552050.0";"5529099.0";"5511147.0";"5487935.0";"5416447.0";"5332513.0";"5309404.0";"5226354.0";"5117885.0";"5052666.0";"4906117.0";"4804606.0";"4736277.0";"4706325.0";"4666271.0";" 4628277.0"
7;"CASTILLA Y LE‡N";9;"BURGOS";4;979;4;470;6;975;4;470;5;1019;4;467;5;1019;5;480;6;1021;5;478;"366900.0";"371248.0";"374970.0";"375657.0";"374826.0";"375563.0";"373672.0";"365972.0";"363874.0";"361021.0";"356437.0";"355205.0";"352723.0";"349810.0";"347240.0";"347218.0";"346355.0";" 350074.0"
11;"EXTREMADURA";10;"CµCERES";7;1305;3;87;7;1305;3;90;7;1286;3;83;7;1307;3;85;7;1329;3;83;"408703.0";"410275.0";"413597.0";"415446.0";"415083.0";"413633.0";"412498.0";"411531.0";"412899.0";"412580.0";"411390.0";"410762.0";"410242.0";"409130.0";"407546.0";"408949.0";"405616.0";" 413396.0"
