CODAUTO;AUTONOMIA;CODPROV;NOMBRE;2014_H_PUBLICO;2014_CAMAS_PUB;2014_H_PRIVADO_;2014_CAMAS_PRIV;2013_H_PUBLICO;2013_CAMAS_PUB;2013_H_PRIVADO;2013_CAMAS_PRIV;2012_H_PUBLICO;2012_CAMAS_PUB;2012_H_PRIVADO;2012_CAMAS_PRIV;2011_H_PUBLICO;2011_CAMAS_PUB;2011_H_PRIVADO;2011_CAMAS_PRIV;2010_H_PUBLICO;2010_CAMAS_PUB;2010_H_PRIVADO;2010_CAMAS_PRIV
16;PA÷S VASCO;01;µLAVA;3;1100;3;192;4;1085;3;209;4;1081;3;186;4;1058;3;209;4;1025;3;207
08;CASTILLA-LA MANCHA;02;ALBACETE;7;1080;2;107;7;1075;3;107;7;1074;3;157;7;1079;3;157;7;1094;3;157
10;COMUNIDAD VALENCIANA;03;ALICANTE;13;4516;13;947;13;4659;15;1027;13;4653;16;1060;13;4409;16;1267;13;4111;15;1227
01;ANDALUC÷A;04;ALMER÷A;7;1264;2;165;7;1336;2;165;7;1406;2;165;6;1326;3;162;6;1326;3;176
07;CASTILLA Y LE‡N;05;µVILA;3;430;1;33;3;430;1;33;3;430;1;33;3;430;1;33;3;418;1;33
11;EXTREMADURA;06;BADAJOZ;15;2368;6;413;15;2488;5;393;15;2451;4;293;15;2419;5;313;15;2447;6;337
04;ILLES BALEARS;07;ILLES BALEARS;11;2547;13;1331;13;2544;11;1131;15;3338;11;1130;13;2489;12;1220;13;2415;12;1221
09;CATALU•A;08;BARCELONA;39;10677;109;15400;39;10620;110;15540;39;10628;115;15806;43;10432;114;15528;41;10105;113;15534
07;CASTILLA Y LE‡N;09;BURGOS;4;979;4;470;6;975;4;470;5;1019;4;467;5;1019;5;480;6;1021;5;478
11;EXTREMADURA;10;CµCERES;7;1305;3;87;7;1305;3;90;7;1286;3;83;7;1307;3;85;7;1329;3;83
01;ANDALUC÷A;11;CµDIZ;6;2157;12;1210;7;2447;11;1176;7;2437;11;1179;7;2408;11;1219;7;2408;11;1360
10;COMUNIDAD VALENCIANA;12;CASTELL‡N;5;1444;2;145;5;1444;2;145;5;1443;2;124;5;1426;2;124;5;1419;2;124
08;CASTILLA-LA MANCHA;13;CIUDAD REAL;7;1513;1;55;7;1535;2;48;7;1535;2;5;7;1535;2;95;7;1500;2;95
01;ANDALUC÷A;14;C‡RDOBA;10;1692;3;282;10;1777;3;282;10;1779;3;282;10;1781;4;285;10;1781;4;285
12;GALICIA;15;A CORU•A;15;3379;9;852;15;3397;10;877;16;3569;10;941;16;3630;10;935;16;3676;11;956
08;CASTILLA-LA MANCHA;16;CUENCA;1;436;1;60;1;436;1;60;1;411;1;60;1;411;1;60;1;411;1;60
09;CATALU•A;17;GIRONA;9;1722;15;1168;9;1731;15;1180;9;1731;15;1180;8;1595;15;1185;7;1442;16;1352
01;ANDALUC÷A;18;GRANADA;9;1880;3;336;9;2069;3;346;9;2069;3;346;8;2029;3;345;8;2029;3;357
08;CASTILLA-LA MANCHA;19;GUADALAJARA;3;744;2;107;3;744;2;108;3;744;2;108;4;873;2;112;3;726;2;112
16;PA÷S VASCO;20;GUIPÈZCOA;5;1585;11;1522;5;1622;11;1529;5;1601;11;1542;5;1612;11;1563;5;1620;11;1569
01;ANDALUC÷A;21;HUELVA;5;999;3;250;5;1015;3;234;5;1015;3;234;5;989;3;234;5;989;3;239
02;ARAG‡N;22;HUESCA;6;714;1;40;6;729;1;40;6;730;1;40;6;727;1;40;7;742;1;40
01;ANDALUC÷A;23;JAêN;11;1375;1;45;11;1485;1;45;11;1485;1;45;10;1439;1;45;10;1439;1;45
07;CASTILLA Y LE‡N;24;LE‡N;5;1484;7;741;5;1449;8;803;5;1449;8;803;5;1449;8;707;5;1401;9;774
09;CATALU•A;25;LLEIDA;5;818;10;831;5;818;10;831;5;818;11;854;5;748;11;854;5;748;11;854
17;LA RIOJA;26;LA RIOJA;7;909;2;126;6;834;2;126;5;804;2;124;5;807;2;124;6;970;2;124
12;GALICIA;27;LUGO;5;1136;2;109;5;1136;2;109;7;1336;2;109;8;1336;2;109;7;1216;2;109
13;MADRID;28;MADRID;39;14635;47;7195;41;14792;48;7344;40;14694;48;7443;39;14062;50;7451;39;14514;51;7356
01;ANDALUC÷A;29;MALAGA;12;2521;24;2041;12;2891;24;2035;12;2891;23;2027;12;2745;27;2271;12;2671;27;2326
14;REGI‡N DE MURCIA;30;MURCIA;13;3225;16;1538;13;3244;15;1445;14;3236;15;1411;14;3163;15;1407;13;3142;15;1392
15;C. FORAL DE NAVARRA;31;NAVARRA;4;1435;7;987;7;1435;7;987;7;1389;7;1025;6;1369;7;1025;6;1376;7;1025
12;GALICIA;32;OURENSE;6;1083;2;98;7;1083;2;98;7;1083;2;98;7;1073;2;98;7;1098;3;128
03;PPDO. DE ASTURIAS;33;ASTURIAS;11;2802;11;1034;12;2983;11;1034;12;3112;11;1034;12;3132;11;1038;12;3167;11;1015
07;CASTILLA Y LE‡N;34;PALENCIA;3;495;3;425;3;495;3;425;3;497;3;425;3;505;3;425;3;505;3;425
05;CANARIAS;35;LAS PALMAS;12;2479;12;1378;12;2547;12;1406;12;2487;12;1406;12;2471;12;1416;12;2471;12;1411
12;GALICIA;36;PONTEVEDRA;10;1965;11;1305;10;1965;11;1305;10;1977;11;1305;10;1971;12;1343;10;1962;14;1442
07;CASTILLA Y LE‡N;37;SALAMANCA;4;957;1;118;4;977;1;118;4;977;1;118;4;1010;1;118;4;1011;1;118
05;CANARIAS;38;SANTA CRUZ DE TENERIFE;12;2455;10;1285;12;2456;10;1285;12;2419;11;1350;12;2419;11;1343;12;2433;12;1348
06;CANTABRIA;39;CANTABRIA;4;1332;4;684;4;1332;4;667;4;1362;4;680;5;1457;4;676;5;1432;4;708
07;CASTILLA Y LE‡N;40;SEGOVIA;3;431;1;50;3;431;1;50;3;431;1;50;3;431;1;51;4;431;1;51
01;ANDALUC÷A;41;SEVILLA;15;3298;13;1373;15;3494;13;1377;15;3494;13;1377;15;3533;13;1407;15;3670;12;1443
07;CASTILLA Y LE‡N;42;SORIA;3;336;;;3;355;;;3;355;;;3;355;;;3;355;;
